helyezes,pontszam,csapat,bemutatkozo,city tour day,kulturmaraton,noi foci,kosarlabda,kezilabda,asztalitenisz,bolc,ursus challenge,foci,labtenisz,tenisz,pc jatekok 1,city tour night,tematikus buli 1.1,tematikus buli 2,majalis,beerpong,paintball,biliard,poker,fotomaraton,uszas 1,table,strandroplabda,tancmaraton 1,sakk,csocso,korrektura,ijaszat,biciklitura,krucsa,dartsz,leghoki,bowling,karaoke,piramis,felsziget,szatmar.ro,bonusz feladat
1,4787,Pengék,443.0,218.0,202.0,140.0,350.0,180.0,70.0,35.0,125.0,90.0,70.0,90.0,33.0,139.0,100.0,100.0,651.0,20.0,100.0,30.0,45.0,64.0,100.0,16.0,90.0,229.0,16.0,40.0,90.0,70.0,76.0,30.0,30.0,16.0,20.0,80.0,20.0,94.0,25.0,450.0
2,4524,wattafák,309.0,150.0,104.0,140.0,220.0,180.0,90.0,35.0,123.0,260.0,90.0,180.0,41.0,143.0,100.0,100.0,564.0,100.0,250.0,70.0,15.0,58.0,150.0,16.0,40.0,190.0,16.0,40.0,66.0,53.0,142.0,16.0,30.0,60.0,35.0,53.0,20.0,0.0,25.0,250.0
3,4469,ENDorFIN,380.0,167.0,193.0,90.0,98.0,180.0,150.0,30.0,100.0,140.0,70.0,70.0,38.0,187.0,100.0,100.0,501.0,20.0,160.0,60.0,55.0,125.0,100.0,30.0,110.0,216.0,70.0,30.0,88.0,58.0,94.0,30.0,16.0,50.0,20.0,63.0,20.0,35.0,25.0,400.0
3,4469,Mérce,401.0,175.0,194.0,140.0,260.0,200.0,70.0,30.0,110.0,200.0,90.0,90.0,56.0,148.0,100.0,100.0,555.0,40.0,50.0,16.0,35.0,50.0,100.0,16.0,40.0,209.0,16.0,16.0,84.0,91.0,92.0,40.0,30.0,16.0,35.0,53.0,20.0,26.0,25.0,450.0
5,4440,PUR-D,263.0,214.0,219.0,140.0,180.0,140.0,90.0,15.0,95.0,140.0,90.0,40.0,34.0,222.0,100.0,100.0,634.0,50.0,50.0,40.0,25.0,110.0,180.0,70.0,40.0,226.0,30.0,16.0,74.0,22.0,108.0,16.0,30.0,30.0,20.0,43.0,20.0,49.0,25.0,450.0
6,4429,Búvármedvék,356.0,172.0,162.0,200.0,200.0,260.0,40.0,15.0,135.0,140.0,90.0,70.0,29.0,163.0,100.0,100.0,570.0,40.0,50.0,16.0,55.0,111.0,100.0,30.0,90.0,210.0,30.0,30.0,63.0,70.0,98.0,16.0,0.0,40.0,0.0,23.0,20.0,60.0,25.0,450.0
7,4298,MAKI verem,301.0,160.0,158.0,90.0,286.0,140.0,40.0,40.0,100.0,90.0,90.0,40.0,36.0,165.0,100.0,100.0,571.0,20.0,140.0,40.0,35.0,48.0,70.0,30.0,90.0,207.0,30.0,40.0,63.0,69.0,134.0,40.0,70.0,30.0,35.0,43.0,20.0,37.0,50.0,450.0
8,4223,Balls & Dolls,318.0,226.0,163.0,180.0,140.0,350.0,40.0,15.0,93.0,140.0,100.0,40.0,41.0,148.0,100.0,100.0,482.0,20.0,0.0,16.0,45.0,105.0,40.0,16.0,180.0,212.0,30.0,80.0,98.0,66.0,85.0,30.0,16.0,16.0,20.0,43.0,20.0,34.0,25.0,350.0
9,4219,UNI-GUNS,320.0,200.0,195.0,350.0,180.0,180.0,40.0,35.0,95.0,90.0,70.0,70.0,41.0,170.0,100.0,100.0,514.0,20.0,50.0,16.0,35.0,65.0,70.0,16.0,130.0,224.0,50.0,16.0,95.0,27.0,110.0,16.0,16.0,16.0,20.0,75.0,30.0,47.0,25.0,300.0
10,4216,pi-pirátok,371.0,192.0,194.0,90.0,200.0,90.0,70.0,25.0,100.0,90.0,40.0,90.0,24.0,130.0,100.0,100.0,525.0,20.0,180.0,40.0,55.0,64.0,100.0,40.0,70.0,215.0,16.0,16.0,72.0,70.0,114.0,0.0,30.0,30.0,20.0,80.0,35.0,43.0,25.0,450.0
11,4213,K.O.SER,277.0,179.0,197.0,90.0,90.0,220.0,180.0,10.0,115.0,180.0,150.0,90.0,46.0,138.0,100.0,0.0,476.0,20.0,50.0,45.0,25.0,57.0,100.0,16.0,100.0,215.0,30.0,16.0,98.0,80.0,90.0,40.0,16.0,30.0,80.0,80.0,30.0,32.0,25.0,400.0
