helyezes,pontszam,csapat
1,5417, Pengék
2,4962, WaTtaFák
3,4829, FuckTúra
4,4800, Balls & Dolls
5,4757, MAKIverem
6,4690, Mérce
7,4638, Búvármedvék
8,4558, K.O.SER
9,4526, Pur-D
10,4486, pi-pirátok
11,4475, ez egy fa
12,4444, IGNORE
13,4378, Mind1
14,4372, UNI-GUNS
15,4343, HELP!
16,4277, Hello Pisti
17,4240, YES FOR SURE
18,4222, Bitchka
19,4192, Bio-Beton
20,4147, oltaRIBANCzaj
21,4096, KápásoK
22,4078, BEERka
23,4078, TËMPO!
24,4051, Beez-Mute
25,3953, beer-bar-bárok
26,3939, X-tázi
27,3895, Bummeránga
28,3861, Szesz Coke
29,3834, Csíki- Share
30,3801, InTeam
31,3754, Ű-beer
32,3731, Felrúglak'oszt LSL
33,3717, AzNap
34,3659, Apafisokk
35,3644, VigyOrgia
36,3639, Hol a söröm?!
37,3629, STIHLus
38,3625, Soaps2Night
39,3609, Vodkatonák
40,3582, Like A Boss!
41,3452, Fapuma
42,3447, borÁszok
43,3394, Pa-lik
44,3370, G Pont
45,3305, How High
46,3282, N@fing
47,3012, Apacsok
48,2657, Acél Mackók
