helyezes,pontszam,csapat,Bemutatkozó ,Sakk ,Chest-Pong ,Biliárd ,Póker ,Kultúrmaraton ,Úszás ,Vízimajális ,Klán tour ,Bolc ,Karaoke ,Táncmaraton ,City Tour ,Kézilabda ,Asztalitenisz ,Táblé ,Csocsó ,PC játék I - League of Legends ,Beer-pong ,Staféta ,Korrektúra ,Klán tour II ,Klán slam ,Kosárlabda ,Foci ,Női Foci ,PC játék II - Counter Strike 1.6 ,Néptánc ,Orosz roulette ,Lábtenisz ,Kocsma-kviz ,Krucsa ,Klán tour III ,Thumper ,Erotik show ,A legjobb diáknapos bogrács ,Fotómaraton 
1,5372,DíP PöRPöL,298,130,180,120,111,281,138,87,108,100,100,228,83,240,180,40,40,40,220,146,125,120,134,300,270,140,135,149,70,135,123,40,69,130,181,99,142
2,5338,BALLS & DOLLS,299,50,40,55,109,311,148,131,120,74,300,244,200,300,140,55,90,40,70,136,141,99,300,140,180,90,150,188,40,40,185,40,106,85,188,107,197
3,5040,WARYOU,281,60,40,85,116,279,132,190,108,120,87,211,124,140,200,40,160,40,200,150,138,120,134,270,140,140,135,124,55,150,141,40,69,91,183,96,111
4,4823,WATTAFáK,297,50,220,40,127,233,70,131,120,72,200,237,91,140,40,70,65,40,160,128,125,99,300,90,140,180,150,163,55,60,154,40,106,73,185,104,118
5,4814,PI-PIRáTOK,271,60,130,55,86,272,150,200,113,78,80,247,90,140,90,40,200,65,130,142,115,104,284,180,90,240,40,103,40,60,181,40,97,73,168,110,120
6,4564,KÓMA-SZUTRA,278,60,100,110,118,249,120,131,95,46,80,280,162,90,40,40,180,65,100,114,146,103,219,180,90,180,65,143,55,60,144,55,62,97,165,90,122
7,4518,CUM WITH US,291,50,130,40,48,330,124,188,119,118,93,279,145,40,90,70,140,90,70,76,138,115,259,40,40,90,90,192,40,40,153,70,100,49,189,108,134
8,4502,FUCKTúRA,275,40,100,70,46,328,128,143,115,98,89,261,81,90,40,55,40,40,130,140,130,93,142,240,140,180,40,196,130,75,111,40,74,70,172,94,116
9,4488,BETA HOUSE,274,115,70,55,40,216,112,130,95,68,152,210,88,210,90,55,90,65,70,148,125,103,219,40,140,300,65,152,85,75,148,55,62,58,158,95,115
10,4406,BEEZ-MUTE,283,70,100,70,115,297,50,54,106,130,142,233,113,180,65,85,65,150,70,104,100,95,150,40,140,90,105,154,40,120,105,130,88,76,153,94,104
11,4381,PURD&BITCHKA;,272,40,70,40,64,328,98,118,106,74,91,237,157,90,40,120,90,65,40,138,130,106,142,90,180,140,90,110,110,75,188,85,77,73,136,107,114
12,4347,BúVáRMEDVéK,274,60,70,70,100,300,108,191,119,106,67,244,148,90,40,55,65,90,70,132,133,115,259,40,40,140,90,128,40,40,188,55,100,79,162,86,113
13,4342,HELP!,260,40,70,40,0,290,114,115,113,128,181,284,136,140,40,55,115,65,70,122,126,104,284,140,40,40,40,200,40,90,116,40,97,103,155,99,120
14,4303,UNI-GUNS,252,50,70,55,90,264,66,118,119,66,91,275,138,40,65,40,40,40,70,112,142,106,268,90,300,140,40,164,40,75,129,55,77,67,177,99,123
15,4272,Ü-BEER,260,40,100,40,130,313,134,83,65,55,230,262,108,40,40,70,65,40,70,116,128,102,235,90,40,90,65,173,70,40,179,100,88,106,157,108,110
16,4259,THORPEDO,268,40,70,70,76,350,144,139,47,112,91,300,56,40,115,55,115,105,40,100,115,88,251,180,90,40,65,73,55,75,157,70,88,46,155,98,150
17,4253,VIGYORGIA,278,40,40,85,42,317,102,92,108,116,78,196,111,40,90,40,65,40,100,124,131,120,134,40,140,270,135,155,40,90,200,40,69,94,133,99,139
18,4226,IGNORE,249,0,40,55,105,278,52,91,120,108,181,224,94,40,90,110,40,40,70,88,100,99,300,0,210,40,150,112,100,90,173,40,106,128,132,91,130
19,4159,N@FING,276,70,40,55,103,314,64,85,106,110,162,260,169,40,40,70,40,150,130,92,142,95,150,140,40,40,105,178,40,75,86,55,88,61,140,98,130
20,4149,SZESZCOKE,278,100,200,40,124,256,82,72,113,40,89,218,135,140,115,55,40,40,40,72,110,96,259,140,90,40,40,119,55,40,169,70,120,82,137,97,106
21,4132,EZ EGY FA,300,40,40,40,88,302,118,139,119,64,84,296,129,90,65,40,65,90,40,130,105,115,259,40,40,40,90,155,40,40,161,40,100,52,200,101,135
22,4130,SIC-LA,279,70,130,130,52,295,110,128,115,72,300,218,110,180,40,55,40,40,0,98,125,93,142,210,90,90,40,115,70,40,145,40,74,52,144,83,115
23,4126,MYFAULT,265,40,70,55,92,271,104,97,89,84,230,220,104,40,40,55,40,120,130,110,115,90,97,180,90,90,40,171,40,60,197,55,78,64,167,89,107
24,4115,WEEDRAK,265,0,130,85,121,288,60,70,106,68,69,259,137,90,40,70,65,65,40,96,105,106,142,90,180,140,90,142,55,105,119,70,77,70,148,98,124
25,4081,KOCSMAFFIA,291,0,100,55,60,268,62,135,113,52,89,199,84,180,90,40,65,40,100,56,137,96,259,40,140,40,40,176,55,40,166,85,120,58,179,100,131
26,4044,SZüRETLEN,276,40,70,40,58,272,146,144,113,46,89,237,102,40,70,40,90,90,180,118,105,85,146,40,90,90,120,141,120,40,126,55,68,43,185,91,108
27,4027,APACSOK,262,40,40,40,96,266,40,141,106,90,200,255,139,90,90,40,115,150,70,40,101,95,150,40,90,40,105,151,40,75,154,85,88,46,125,100,102
28,4016,K.O.SER,245,40,40,55,102,293,68,48,106,82,84,214,124,270,40,55,40,65,40,52,125,106,142,90,90,90,90,189,40,90,184,70,77,64,157,92,117
29,3978,BUMMERáNGA,251,40,40,40,110,275,58,89,47,66,270,204,152,40,65,130,40,105,70,80,140,88,251,40,90,40,65,165,40,40,156,70,88,67,144,87,105
30,3939,RÁMSZESZ,295,50,40,55,123,307,40,186,113,96,80,219,110,40,115,85,40,90,100,84,110,85,146,40,90,40,120,110,55,40,175,40,68,70,142,85,125
31,3927,WE-KINGS,274,50,160,40,94,304,40,93,106,43,162,242,106,90,40,0,40,65,40,134,110,95,130,90,40,90,40,158,40,40,135,110,63,126,191,91,125
32,3922,SZEXOFFON,280,60,70,70,120,264,84,139,113,104,93,251,135,40,40,40,90,40,40,106,95,95,138,40,240,180,40,80,55,40,107,55,66,55,130,94,113
33,3898,BEER-KA,272,50,40,55,114,281,140,136,97,126,93,188,91,90,115,70,40,40,40,48,130,90,227,40,180,40,40,168,40,40,117,40,74,52,145,106,103
34,3870,BORÁSZOK,289,40,40,70,98,273,56,146,113,62,80,224,106,90,160,40,40,40,40,50,136,96,259,40,40,90,40,105,55,40,169,40,120,118,147,101,87
35,3819,CSíKLóNOK,250,60,0,55,112,267,136,141,89,116,89,215,145,40,40,100,40,120,40,108,105,90,97,90,40,40,40,149,55,60,159,40,78,67,178,100,118
36,3798,CSíKI-SHARE,281,40,70,70,70,255,126,137,119,58,91,224,125,40,40,40,40,40,40,68,111,106,268,90,40,140,40,79,40,40,175,40,77,109,142,83,114
