helyezes,pontszam,csapat,Asztalitenisz,Beer-Pong,Bemutatkozó,Billiárd,Bogrács,Bolc,Chandelier,Chest - Pong,City Tour,Cooltúra,Csocsó,Dance Battle,Erotik,Férfi Foci,Fotómaraton,Jenga,Karaoke,Kézilabda,Klán-Tour 1,Klán-Tour 2,Klán-Tour Night,Kosárlabda,Kultúrmaraton,Laser Tag,Méta,Néptánc,Női foci,PC: LOL,PC:CS-GO,Póker,Sakk,Shout,Slam,Staféta,Táblé,Táncmaraton,Teqball,Thumper,Úszás
1,5636,Balls&Dolls,40,105,296,70,108,34,220,105,103,187,200,300,245,300,120,60,180,270,70,112,97,180,170,110,300,148,240,50,50,90,55,21,222,150,40,270,60,118,140
2,5178,S'tudja,60,75,278,70,104,90,110,130,145,125,80,75,268,100,84,150,240,300,79,113,90,180,275,140,140,155,270,75,75,35,25,61,290,120,55,300,70,32,114
3,5163,FuckTúra,60,220,279,25,88,38,60,180,54,187,40,300,229,240,96,50,150,240,70,112,97,60,200,110,240,163,300,50,50,55,25,15,222,124,40,300,150,94,150
4,4831,UNI-GUNS,200,200,291,40,81,66,45,200,109,188,60,120,300,100,84,50,150,180,97,115,102,100,160,200,210,170,60,50,50,110,55,74,224,84,40,270,40,102,54
5,4518,CsíKlónok,180,50,286,25,102,102,130,130,141,125,100,75,124,60,96,40,210,140,79,113,90,100,250,140,180,110,140,75,75,50,70,50,290,118,70,200,40,38,124
6,4397,ThorPedo,60,130,249,25,101,93,180,75,111,120,80,75,217,180,96,90,180,60,86,108,88,140,172,80,30,80,180,125,75,55,100,76,213,130,25,270,50,66,126
7,4209,Zsákmány,40,75,292,25,89,123,45,75,108,172,60,120,241,140,84,50,150,60,70,120,93,100,197,50,100,171,60,50,150,50,25,26,280,98,40,300,130,50,100
8,4200,Beez-Mute,140,50,292,40,79,36,90,105,158,125,40,75,148,100,108,40,180,60,79,113,90,100,194,140,180,190,140,75,75,35,55,27,290,86,25,240,40,122,38
9,4187,Kóma-Szutra,40,50,292,25,61,46,80,50,140,188,40,120,165,180,108,50,80,100,97,115,102,300,179,200,100,137,60,50,50,40,40,58,224,128,25,300,40,47,80
10,4174,Szeszkimók,60,75,238,55,81,48,200,50,144,180,60,75,257,100,108,60,80,180,64,113,101,60,161,50,140,105,100,25,125,45,25,44,250,114,130,300,40,41,90
11,4062,Búvármedvék,80,50,261,55,80,52,90,50,138,177,40,165,208,140,84,40,150,60,94,113,98,100,178,110,270,108,60,25,25,45,40,21,232,90,25,270,50,86,102
12,4056,pi-pirátok,40,180,219,25,91,72,45,75,112,120,160,75,237,60,108,60,80,30,86,108,88,100,181,80,180,100,180,125,75,30,55,23,213,78,55,200,50,130,130
13,4050,WeSithek,40,105,225,40,66,0,45,75,106,176,80,255,256,100,120,40,150,140,108,111,87,100,300,50,30,100,100,75,25,130,40,55,238,70,55,200,40,29,88
14,3897,Amúgy,100,75,240,25,79,69,80,50,98,137,80,210,185,60,84,40,150,60,109,112,93,180,184,80,100,138,60,150,25,30,25,70,270,92,25,150,50,26,106
15,3878,Cum With Us,80,75,294,100,87,52,70,50,110,177,60,165,225,100,84,40,150,100,94,113,98,60,181,110,60,125,140,25,25,30,55,29-,232,54,25,200,60,35,108
16,3877,WaTtaFák,80,50,235,25,86,60,45,75,80,188,100,120,230,60,108,40,180,100,97,115,102,60,140,200,100,73,210,50,50,70,40,15,224,82,25,200,40,50,72
17,3871,NoFace,80,105,284,85,75,30,45,105,111,145,40,75,162,60,108,50,150,180,90,85,92,60,154,110,140,198,100,100,25,35,25,55,218,58,70,180,60,64,62
18,3860,In-Team,60,160,191,40,75,87,60,50,110,188,100,75,161,60,96,70,150,100,80,110,85,140,166,50,100,148,100,50,50,30,40,32,228,110,55,240,60,41,112
19,3851,KocsMaffia,40,75,234,25,75,96,70,50,108,130,40,75,159,140,96,110,150,140,107,108,92,60,170,50,60,138,100,25,25,100,40,61,300,116,40,300,40,38,68
20,3830,Ű-Beer,40,75,245,55,80,116,80,220,73,89,80,120,195,60,96,60,80,60,84,81,89,100,182,50,180,147,100,25,50,55,55,23,260,106,55,200,40,20,104
21,3827,Hajrá Vidámfiúk,80,50,216,55,69,99,60,105,77,187,60,300,181,60,84,60,80,60,70,112,97,210,170,110,60,37,100,50,50,35,40,24,222,0,25,300,60,50,122
22,3818,WeeDrák,160,130,277,55,75,0,80,50,53,14,60,165,190,180,96,50,300,100,82,117,88,60,192,50,100,32,60,25,25,40,55,23,202,104,40,200,70,90,128
23,3789,Szűretlen,100,75,259,70,78,32,90,105,110,180,60,75,205,100,96,70,80,60,64,113,101,100,191,50,60,102,60,25,125,55,40,3,250,62,115,200,40,70,118
24,3777,Magyar Szisztem,40,50,204,40,57,57,70,130,80,172,140,120,144,60,84,40,80,100,70,120,93,180,172,50,60,172,100,50,150,30,25,11,280,76,40,240,50,20,120
25,3765,B’Awesome,40,50,200,70,74,44,120,50,94,137,40,165,189,100,96,40,80,100,88,97,89,140,161,170,0,138,180,75,75,45,25,19,199,50,25,270,70,110,50
26,3732,Bummeránga,40,105,232,40,86,30,80,50,113,172,40,120,131,100,84,40,270,100,70,120,93,100,193,50,60,142,100,50,150,35,25,16,280,48,25,150,40,78,74
27,3706,KápásoK,40,75,203,130,77,48,70,75,102,176,40,255,122,140,84,50,150,60,108,111,87,60,181,50,140,20,140,75,25,45,70,15,238,80,25,240,40,23,36
28,3702,Szedd Mán'ki,80,75,201,40,69,54,0,0,107,137,80,210,250,100,84,50,80,60,109,112,93,60,185,80,100,117,60,150,25,80,115,18,270,88,25,200,50,44,44
29,3670,WhatsOn,40,50,238,25,78,36,80,50,107,174,60,120,130,60,120,50,150,100,77,95,89,60,181,80,100,122,140,25,25,40,130,13,211,100,40,270,40,98,66
30,3659,FesztÍgyáll,60,105,199,25,36,75,80,50,52,137,40,210,0,60,96,130,180,60,109,112,93,140,192,80,100,148,60,150,25,50,40,3,270,94,0,200,60,44,94
31,3628,Ignore,40,50,232,25,58,44,45,75,129,188,80,75,128,100,96,40,80,210,80,110,85,140,158,50,140,108,60,50,50,55,40,18,228,72,40,240,110,35,64
32,3562,K.O.SER,40,50,268,40,77,109,70,105,83,14,60,165,181,140,60,50,80,140,82,117,88,100,179,50,100,102,100,25,25,50,25,34,202,96,0,300,60,47,48
33,3560,BEER-ka,100,50,234,40,78,78,80,75,77,137,40,165,118,210,108,60,80,60,88,97,89,60,140,170,30,168,60,75,75,30,40,29,199,0,55,200,50,29,86
34,3536,SzeszCoke,40,75,176,25,72,42,90,75,106,162,60,75,149,140,84,70,80,180,66,108,91,240,161,80,0,143,60,25,25,45,40,16,227,74,100,200,0,50,84
35,3534,BITs Please,60,75,216,40,71,84,0,75,158,177,40,165,141,60,120,40,80,100,94,113,98,60,133,110,60,112,100,25,25,120,25,56,232,68,55,180,40,44,82
36,3527,RÁMSZESZ,80,105,261,25,82,28,60,105,73,137,80,165,170,180,96,40,150,60,88,97,89,30,127,170,60,70,60,75,75,45,85,3,199,0,25,200,50,82,0
37,3520,SLoW-Mo,100,50,207,55,71,63,45,75,71,145,40,75,175,100,96,40,80,60,90,85,92,60,156,110,60,150,140,100,25,40,70,79,218,46,40,270,40,23,78
38,3511,PurD,60,75,207,0,57,38,160,0,97,14,40,165,188,140,84,50,80,140,82,117,88,140,178,50,140,85,100,25,25,35,40,68,202,108,70,200,0,47,116
39,3498,VigyOrgia,60,130,228,115,75,40,60,50,0,188,60,75,150,100,108,40,80,140,80,110,85,100,154,50,140,62,100,50,50,35,25,23,228,126,0,200,60,23,98
40,3410,wHOReDA,40,50,231,25,92,81,90,160,92,180,40,75,188,60,96,40,150,100,64,113,101,100,196,50,30,52,100,25,125,55,25,3,250,0,25,180,50,20,56
41,3354,N@FING,60,50,265,25,75,32,45,75,112,162,60,75,135,60,84,40,80,140,66,108,91,60,140,80,100,113,60,25,25,35,25,10,227,66,40,270,40,106,92
42,3351,Hököl,40,50,178,0,93,34,90,50,86,145,40,75,218,100,60,40,80,100,90,85,92,100,160,110,0,82,140,100,25,40,70,56,218,112,40,270,50,32,0
43,3291,BorÁszok,40,75,210,25,66,24,140,75,102,162,40,75,149,60,120,40,80,60,66,108,91,60,144,80,140,132,60,25,25,55,40,100,227,52,25,200,40,32,46
44,3250,Spunkenspritzen,60,50,187,40,65,50,0,50,132,137,100,210,148,60,84,50,80,0,109,112,93,60,184,80,100,60,60,150,25,30,25,50,270,64,0,120,50,35,70
45,3207,VodKanok,60,50,162,40,50,28,90,50,140,130,40,75,126,60,96,50,80,100,107,108,92,140,134,50,60,53,140,25,25,40,25,15,300,0,25,200,90,41,110
46,3203,Sördögök,60,105,164,55,78,26,45,130,119,130,60,75,114,60,108,40,80,140,107,108,92,100,153,50,100,78,60,25,25,40,25,50,300,60,25,100,50,26,40
47,3166,Team Elite,80,75,207,25,74,24,70,75,0,0,40,0,135,60,108,60,180,60,57,111,83,270,0,50,100,130,60,25,100,40,55,8,188,140,40,240,70,50,76
