helyezes,pontszam,csapat,Asztalitenisz,Beer-Pong,Bemutatkozó,Biliárd,Bogrács,Bolc,Chandelier,Chest-Pong,City Tour,Cooltúra,CS:GO,Csocsó,Dance Battle,Erotik,Férfi foci,Fotómaraton,Jenga,Karaoke,Kézilabda,Klán-Tour,Klán-Tour Night,Kosárlabda,Kultúrmaraton,LOL,Méta,Néptánc,Női foci,Póker,Röpi,Sakk,Slam,Staféta,Táblé,Táncmaraton,Úszás
1,5373,S'tudja,180,90,328,40,127,145,210,250,229,97,95,110,80,160,50,125,50,140,250,155,188,250,218,75,300,95,225,70,200,30,152,124,50,325,160
2,4858,UNI-GUNS,75,300,342,20,145,120,50,90,284,97,95,110,80,160,170,111,30,285,90,155,188,90,171,75,170,179,170,40,200,50,152,112,30,346,76
3,4620,Kóma-Szutra,50,50,266,30,111,38,60,225,268,97,95,110,80,174,300,121,40,240,90,155,188,50,147,75,250,165,90,40,200,30,152,120,40,343,130
4,4552,Shakesbeer,100,90,203,20,100,90,80,90,275,86,128,50,240,123,250,104,30,270,170,141,166,130,164,50,90,78,130,150,150,50,167,102,40,325,120
5,4547,FuckTúra,50,200,200,30,120,150,80,90,246,89,110,80,180,145,130,122,30,70,200,127,170,225,166,25,170,209,130,50,70,40,181,160,40,350,112
6,4321,Cheeklow,25,225,106,20,103,48,80,90,106,86,128,140,240,114,170,94,40,140,300,141,166,170,169,50,170,168,90,60,150,30,167,140,50,345,0
7,4224,Beez-Mute,135,50,290,40,104,130,50,50,244,89,110,50,180,157,130,82,40,225,90,127,170,130,212,25,90,217,90,30,70,60,181,96,30,350,100
8,4194,Szeszkimók,25,250,141,120,80,50,165,300,193,86,50,80,130,124,50,98,90,140,50,90,164,170,146,50,130,163,130,50,70,40,142,108,60,343,116
9,4165,Búvármedvék,150,50,230,30,97,115,50,170,193,77,75,80,130,102,90,116,40,195,90,113,176,130,158,95,50,183,50,60,90,130,169,114,110,343,114
10,4107,Vá$örhely,75,50,25,30,116,125,80,50,177,89,110,110,180,145,130,114,30,70,225,127,170,90,195,25,90,192,300,80,70,40,181,128,30,332,126
11,4064,genItália,75,90,178,30,118,42,0,50,203,87,50,110,80,168,50,102,50,180,130,111,184,130,181,50,225,120,170,60,170,60,140,130,40,350,150
12,3982,DevaStation,25,170,145,40,105,95,40,90,231,70,50,110,130,72,170,81,30,70,130,116,149,90,184,110,130,201,50,40,120,110,142,116,160,336,74
13,3966,MozgéKonyak,50,90,322,30,97,140,40,130,242,87,50,80,80,142,90,115,50,70,130,111,184,50,193,50,200,67,50,40,170,50,140,126,30,346,124
14,3939,Cum With Us,25,130,335,50,82,85,80,130,252,77,75,80,130,178,130,109,60,140,90,113,176,90,181,95,50,116,50,40,90,30,169,0,40,343,118
15,3911,amitakartok,25,50,242,30,122,22,60,90,256,118,50,210,300,180,90,71,50,300,90,133,169,50,150,50,90,90,50,0,90,50,150,0,40,349,94
16,3701,Beerluck,50,170,350,20,92,36,50,50,178,86,50,140,130,0,90,73,30,140,170,90,164,90,172,50,90,118,130,30,70,30,142,118,60,344,98
17,3662,WaTtaFák,75,90,208,20,98,40,30,50,246,91,50,140,130,157,90,92,40,140,130,128,167,130,162,10,90,121,50,60,70,30,172,110,40,335,70
18,3634,Anyukád kedvenc csapata,50,50,188,20,69,26,60,50,260,70,50,110,130,0,130,71,30,255,90,116,149,130,164,110,130,169,90,70,120,90,142,70,30,345,0
19,3627,Magyar Szisztem,100,130,68,40,123,105,120,130,183,74,50,250,80,109,50,91,0,70,50,116,172,50,172,50,130,131,90,50,50,50,177,84,30,342,110
20,3626,In-Team,100,130,25,20,123,24,80,170,137,0,25,80,80,118,90,68,40,165,130,73,148,300,165,75,50,187,50,50,70,30,112,150,130,309,122
21,3625,Me of us one,55,90,115,20,111,28,40,130,184,65,75,190,80,168,90,110,40,140,50,127,158,50,160,125,130,75,90,130,70,40,152,60,60,327,90
22,3573,WeSithek,50,50,75,30,90,75,180,130,153,74,50,80,80,127,50,104,30,140,90,116,172,90,192,50,130,133,170,70,50,50,177,80,90,345,0
23,3537,SZERVEZTEM,50,90,160,30,109,48,40,90,217,118,50,80,300,0,90,77,40,70,50,133,169,50,196,50,90,185,50,70,90,40,150,78,40,345,92
24,3532,A Kocka Másik Oldala,100,90,54,40,109,34,70,50,294,86,128,80,240,136,50,101,40,70,50,141,166,90,188,50,90,82,50,50,150,30,167,0,30,344,82
25,3330,K.O.SER,25,130,180,30,95,34,50,90,194,91,50,170,130,143,50,120,50,70,50,128,167,90,152,10,50,199,50,70,70,30,172,0,60,330,0
26,3328,Weedrák,25,50,225,100,93,44,50,50,116,0,25,50,80,122,50,103,40,70,50,73,148,170,163,75,170,197,90,90,70,30,112,92,40,325,140
27,3297,Quasalo,25,50,35,20,100,135,195,130,58,118,50,80,300,0,30,0,50,140,50,133,169,50,190,50,90,147,90,50,90,40,150,86,50,346,0
28,3264,BorÁszok,25,130,90,40,94,32,80,170,145,86,50,50,30,143,50,0,30,140,90,128,149,90,148,50,50,108,200,30,90,50,142,88,50,328,88
29,3263,Szűrt,25,90,68,30,100,110,70,130,185,52,75,50,180,100,130,103,30,0,50,73,150,90,194,10,50,169,90,40,70,40,145,104,30,346,84
30,3225,Ű-Beer,25,50,140,20,108,30,150,90,233,91,50,50,130,129,90,52,30,0,50,128,167,50,121,10,90,124,130,140,70,60,172,64,40,341,0
31,3223,JAZZemeg,75,130,132,40,76,44,135,50,82,77,75,50,130,99,90,111,110,70,90,113,176,50,130,95,50,59,50,30,90,40,169,76,30,337,62
32,3220,Verbunk,25,90,42,20,101,160,80,50,88,70,50,50,130,0,90,72,40,140,90,116,149,90,184,110,50,182,90,40,120,0,142,106,30,343,80
33,3200,PopóLopók,75,50,102,30,93,24,0,90,169,91,150,110,0,114,130,106,40,70,130,2,83,170,162,150,50,49,90,40,70,40,166,90,30,326,108
34,3185,RÁMSZESZ,25,50,252,30,121,30,70,90,217,86,50,80,30,106,90,69,30,70,50,128,149,50,147,50,50,88,50,50,90,60,142,100,40,341,104
35,3180,WhatsOn,50,170,120,30,85,46,70,90,147,52,75,80,180,112,50,79,130,140,50,73,150,130,159,0,90,136,50,30,70,40,145,58,50,171,72
36,3076,Vansör,50,90,213,50,0,80,60,90,232,104,75,0,80,143,225,54,40,0,50,72,165,130,133,75,30,69,250,100,70,40,118,82,40,0,66
37,3055,BEER-ka,120,50,127,20,102,50,105,130,153,86,50,50,0,97,50,83,30,70,50,128,149,50,156,50,50,130,90,25,90,30,142,72,30,344,96
38,2903,FehérlóPia,25,90,91,20,75,36,50,50,168,65,75,50,80,109,90,28,40,210,50,127,158,50,120,125,30,0,130,25,70,30,152,94,50,340,0
39,2847,Drunkin' donuts,25,50,277,40,101,28,0,50,143,86,50,50,130,0,0,104,60,140,50,90,164,90,185,50,130,37,50,60,70,30,142,0,30,335,0
40,2845,Szeszesújvár,75,170,145,30,93,32,60,50,95,91,150,50,0,0,90,0,30,70,50,2,83,50,84,150,90,212,50,120,70,40,166,0,50,333,64
41,2844,Anti-biUnicum,50,50,112,80,81,38,70,200,190,0,50,50,0,0,90,27,30,0,50,137,161,50,170,75,130,175,90,60,90,30,0,0,30,350,128
42,2829,diaknapos csapat,25,50,80,50,96,100,70,0,157,87,50,80,80,122,30,50,60,70,90,111,184,0,187,50,90,75,30,30,170,40,140,0,30,345,0
43,2770,RoxtARRok,50,0,105,20,0,20,50,90,174,104,75,0,80,0,170,21,50,0,90,72,165,200,53,75,30,112,130,60,70,0,118,98,40,342,106
44,2721,Cheeky-Share,25,130,137,20,95,22,40,50,101,104,75,80,80,0,50,71,30,140,90,72,165,50,102,75,50,0,170,70,70,30,118,62,0,347,0
45,2598,MuraTúra,50,50,48,20,92,42,0,50,185,65,75,80,80,47,50,68,30,70,50,127,158,90,158,125,90,174,50,50,70,30,152,74,30,0,68
46,2527,IGNORE,50,130,52,150,83,46,0,50,113,0,25,50,80,0,50,0,40,70,130,73,148,50,151,75,50,66,130,60,70,30,112,68,0,265,60
47,2462,Sörös-terv,0,90,41,50,104,70,60,90,225,91,150,80,0,0,130,96,40,0,170,2,83,50,186,150,30,0,50,30,70,40,166,0,40,0,78
48,2332,Basszhattyúk,50,50,25,0,0,65,60,50,237,52,75,0,180,0,50,23,30,0,90,73,150,50,179,0,90,162,90,110,70,40,145,0,50,0,86
49,2263,‘cuzGáz,50,90,49,30,102,40,70,50,205,0,50,140,0,0,0,73,50,70,130,137,161,0,92,75,30,53,90,70,90,160,0,66,40,0,0
50,1464,SzEscoBar,50,90,25,0,0,26,70,170,0,0,50,50,0,0,30,0,160,0,0,137,161,0,0,75,90,0,30,70,90,50,0,0,40,0,0
