helyezes,pontszam,csapat,Asztalitenisz,Beer-Pong,Bemutatkozó,Biliárd,Bogrács,Bolc,Chandelier,Chest-Pong,City Tour,Cooltúra,CS:GO,Csocsó,Dance Battle,Erotik,Férfi foci,Fotómaraton,Jenga,Karaoke,Kézilabda,Klán-Tour,Klán-Tour Night,Kosárlabda,Kultúrmaraton,LOL,Méta,Néptánc,Női foci,Póker,Röplabda,Sakk,Slam Poetry,Staféta,Táblé,Táncmaraton,Úszás
1,5140,GenItália,100,90,340,30,230,36,80,210,143,110,25,80,240,261,130,142,40,140,130,250,180,50,265,125,170,131,300,55,70,160,140,150,50,347,140
2,4951,FuckTúra,25,90,345,20,203,110,70,190,275,70,125,50,130,238,130,200,30,140,225,180,180,250,168,110,130,140,50,55,150,60,180,138,60,342,92
3,4841,Beez-Mute,120,90,343,20,225,160,35,110,265,110,25,140,240,281,90,136,40,140,50,250,180,130,350,125,90,158,90,25,70,40,140,88,30,345,110
4,4806,Vá$örhely,50,50,340,30,217,25,50,110,206,110,25,110,240,249,50,200,40,140,90,250,180,130,275,125,250,185,170,0,70,40,140,130,30,349,150
5,4766,Shakesbeer,100,50,245,20,237,46,60,80,255,70,125,80,130,183,250,161,30,140,130,180,180,130,255,110,300,113,90,25,150,30,180,116,40,345,130
6,4685,UNI-GUNS,25,130,340,20,212,32,50,50,239,140,10,50,180,170,130,200,40,285,170,210,210,50,206,75,90,149,170,55,200,40,180,132,30,341,74
7,4594,MozgéKonyak,25,90,268,50,227,130,50,110,245,90,75,80,80,221,50,130,30,140,50,235,250,130,325,75,130,119,50,55,170,110,190,98,60,342,114
8,4549,Cum With Us,25,130,323,50,160,27,60,80,230,90,75,110,80,183,90,112,30,195,130,235,250,90,240,75,130,164,50,140,170,30,190,78,90,347,90
9,4426,Szeszkimók,50,130,241,20,226,115,60,140,221,130,75,170,300,265,50,200,30,140,50,125,230,170,123,95,90,95,90,55,70,30,50,118,50,288,134
10,4383,Beerluck,50,300,325,50,216,23,80,140,137,130,75,50,300,250,90,114,40,140,90,125,230,50,213,95,90,41,170,0,70,30,50,120,30,345,124
11,4350,Búvármedvék,100,50,325,20,204,105,60,50,158,90,75,80,80,158,50,200,80,70,90,235,250,50,270,75,50,125,50,55,170,130,190,122,160,287,86
12,4271,CheekLow,75,90,266,40,199,26,200,80,185,70,125,50,130,236,0,94,30,70,250,180,180,130,210,110,90,122,50,55,150,30,180,134,50,246,138
13,4216,Sörnyetegek,50,225,261,50,215,80,70,50,218,150,50,50,180,249,50,0,30,180,50,120,190,170,249,50,200,35,225,40,70,30,50,96,30,349,104
14,4167,Zsákmány,75,50,236,20,223,120,30,50,215,115,95,50,80,139,90,200,30,70,90,175,170,200,252,50,90,185,130,55,90,50,180,110,50,284,118
15,4082,SZERVEZTEM,25,250,303,0,223,50,40,80,149,150,50,50,180,244,50,128,40,300,90,120,190,130,300,50,130,0,50,100,70,60,50,112,50,190,78
16,4002,Me Of Us One,25,130,310,30,228,85,40,50,227,60,50,250,80,185,90,126,40,140,50,190,150,50,280,25,50,29,200,55,90,40,200,100,40,263,44
17,4001,Magyar Szisztem,25,50,316,40,195,30,60,50,215,115,95,210,80,250,90,153,30,140,50,175,170,50,179,50,225,86,50,55,90,30,180,46,30,337,54
18,3991,A Kocka Másik Oldala,75,50,225,40,125,40,80,50,239,50,75,80,130,277,90,153,80,140,170,200,160,50,290,150,90,25,50,130,50,50,50,50,30,341,106
19,3984,In-Team,50,50,123,20,200,100,170,110,89,45,50,140,80,188,50,169,0,255,90,165,185,170,237,25,130,152,50,150,70,30,50,170,40,319,62
20,3952,Szeszesújvár,50,50,286,20,220,34,50,50,206,130,75,50,300,172,50,153,30,270,50,125,230,50,150,95,50,225,90,55,70,40,50,64,30,288,94
21,3898,Ű-Beer,25,170,203,30,228,40,140,140,197,60,50,80,80,172,50,200,80,70,50,190,150,50,183,25,50,143,130,55,90,40,200,38,40,337,112
22,3886,.S!C'R,25,90,280,30,188,150,30,80,224,100,25,80,80,298,50,146,60,140,90,220,120,50,180,10,50,149,50,55,120,50,130,108,30,298,100
23,3885,WaTtaFák,50,90,313,20,205,29,80,50,242,100,25,110,80,239,130,163,30,70,170,220,120,50,159,10,90,23,130,55,120,30,130,104,50,346,52
24,3711,WhatsOn,135,200,126,20,175,46,80,140,122,120,50,110,80,220,50,98,30,70,50,145,110,130,216,25,50,71,50,80,70,30,130,102,110,348,122
25,3700,WeSithek,25,50,333,30,188,48,95,80,185,115,95,50,80,189,50,165,40,140,50,175,170,90,195,50,50,41,50,55,90,40,180,44,40,350,72
26,3600,Vá$örhlyOLÉÉÉ,75,50,293,20,207,21,60,0,86,105,50,50,130,239,90,102,60,140,90,140,125,225,246,0,50,50,90,30,90,30,50,58,30,348,170
27,3570,K.O.SER,50,50,285,20,187,65,30,0,239,150,50,50,180,251,50,200,30,70,170,120,190,50,198,50,50,33,50,55,70,40,50,84,30,277,96
28,3542,Hököl,50,50,301,40,168,32,50,0,131,65,50,80,80,225,50,124,30,70,130,140,145,50,167,75,50,200,50,30,70,50,130,124,60,349,126
29,3473,Biolorgia,75,90,193,20,217,24,40,80,176,85,50,110,0,159,50,124,120,70,50,150,155,90,234,50,90,140,130,55,70,40,50,54,30,346,56
30,3440,Weedrák,25,50,95,30,233,34,185,50,128,105,50,80,130,200,90,156,60,70,50,140,125,50,126,10,90,119,130,25,90,30,50,76,130,296,132
31,3434,Verbunk,25,50,208,20,0,140,0,50,170,85,50,140,0,213,50,110,150,240,50,150,155,90,174,50,130,86,90,55,70,40,50,86,30,345,82
32,3420,Strohgerek,50,50,45,80,198,75,0,50,155,50,75,50,130,269,90,116,200,140,50,200,160,50,141,150,50,131,50,55,50,40,50,0,40,338,42
33,3411,proDUCKtive,75,90,205,40,188,0,35,80,140,105,50,110,130,230,50,108,60,70,50,140,125,90,231,10,50,110,90,40,90,50,50,66,40,345,68
34,3407,FehérlóPhia,25,170,93,20,157,38,40,50,119,100,25,80,80,203,225,90,60,70,130,220,120,50,117,0,130,74,50,30,120,30,130,126,30,325,80
35,3405,BorÁszok,25,130,146,20,192,44,70,80,206,120,50,50,80,205,90,78,170,70,50,145,110,90,204,25,170,71,50,55,70,40,130,56,30,283,0
36,3385,SZŰRT,50,130,290,20,205,0,155,80,176,85,50,50,0,201,50,84,40,140,90,150,155,90,222,50,170,0,50,30,70,50,50,0,60,342,0
37,3380,PopóLopók,25,50,136,20,167,22,50,80,197,55,110,110,130,173,170,138,40,70,90,160,140,90,156,50,90,62,130,55,50,0,50,70,40,344,60
38,3365,Muratúra,75,50,190,30,182,135,80,80,155,95,50,0,80,167,50,82,30,70,90,170,130,130,147,75,50,98,90,55,50,30,150,106,40,315,38
39,3274,ginSTABIL,25,170,210,20,192,30,70,50,125,45,75,50,80,0,90,200,30,140,90,165,185,90,144,25,50,134,50,55,70,90,50,62,0,328,84
40,3232,IGNORE,50,0,65,30,237,38,40,110,197,95,50,50,80,85,90,165,30,140,90,170,130,50,129,75,90,71,90,55,50,30,150,74,30,348,48
41,3158,BasszHattyúk,50,50,180,20,133,95,60,50,170,50,75,80,130,47,50,80,30,70,50,200,160,90,177,150,50,89,90,55,50,30,50,60,30,341,66
42,3154,VanSör,25,170,246,100,158,28,30,50,92,80,150,50,80,144,90,104,30,70,50,130,115,50,135,50,50,44,50,110,90,0,50,94,40,335,64
43,3108,Sörös-terv,25,90,138,30,187,26,30,0,170,95,50,50,80,0,130,102,40,70,130,170,130,50,186,75,50,107,90,55,50,30,150,80,30,342,70
44,3025,BEER-ka,25,50,185,30,157,70,40,110,197,80,25,80,80,137,50,76,30,70,50,155,135,50,225,50,50,104,50,0,70,40,50,40,30,346,88
45,2999,BarátOCool,25,90,145,40,140,24,70,170,83,65,50,80,80,0,130,96,40,70,50,140,145,50,165,75,50,62,130,55,70,30,130,68,40,341,0
46,2979,RÁMSZESZ,25,90,300,20,182,42,60,0,107,80,25,80,80,254,50,0,60,70,50,155,135,50,120,50,50,92,90,55,70,30,50,72,0,345,40
47,2919,amitakartok,25,50,268,0,182,31,70,50,209,40,25,50,80,125,50,108,40,210,50,185,165,50,0,50,50,31,50,55,30,30,50,0,0,350,160
